State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Score,Offers,Total Score,"Good, Medium, Bad"
CA,59035,CENTRAL HOME HEALTH AGENCY,"210 N. CENTRAL AVENUE, SUITE 210",GLENDALE,91203,8182420439,Local,50,50,50,50,50,50,1/9/2009,5,5,94,5,96,5,94,5,96,92,52,17,972,300,1272,Good
CA,59737,"RH HOME HEALTH SERVICES, INC.","229 N. CENTRAL AVE., SUITE 610",GLENDALE,91203,8184765688,Local,50,50,50,50,50,50,5/21/2016,5,5,95,5,94,5,100,5,88,95,40,27,972,300,1272,Good
MI,239280,M&Y CARE,"7125 ORCHARD LAKE RD, SUITE 210",WEST BLOOMFIELD,48322,2487572410,Local,50,50,50,50,50,50,5/28/2013,5,5,97,5,96,5,94,5,99,86,80,39,972,300,1272,Good
TX,747493,CARINGBRIDGE HOME HEALTH CARE LLC,207 SOUTH TRAVIS STREET,SHERMAN,75090,9038701000,Local,50,50,50,50,50,50,11/24/2010,5,5,92,5,93,5,99,5,96,92,70,48,972,300,1272,Good
LA,197470,KINDRED AT HOME,"1305 DEREK DRIVE, SUITES 1 & 2",HAMMOND,70403,9854299040,Local,50,50,50,50,50,50,9/15/1992,5,5,95,5,93,5,95,5,95,93,110,22,971,300,1271,Good
MI,237791,ALLIED HOME HEALTH CARE & NURSING SERVICES,4800 CADIEUX ROAD,DETROIT,48224,3138857841,Local,50,50,50,50,50,50,11/7/2008,5,5,96,5,92,5,93,5,99,91,40,24,971,300,1271,Good
FL,103179,MGN HEALTHCARE SERVICES,6175 NW 153RD STREET STE 328,MIAMI LAKES,33014,3057704650,Local,50,50,50,50,50,50,4/2/2013,5,5,98,5,95,5,90,5,95,92,62,13,970,300,1270,Good
LA,197295,"MANGHAM HOME CARE, INC.",714 BROADWAY,MANGHAM,71259,3182482797,Local,50,50,50,50,50,50,2/4/1991,5,5,96,5,94,5,94,5,93,93,52,40,970,300,1270,Good
PA,397638,PARAGON HOME HEALTH CARE CORPORATION,36 N SCOTT STREET,CARBONDALE,18407,5702821770,Local,50,50,50,50,50,50,7/7/1995,5,5,97,5,95,5,92,5,92,94,53,41,970,300,1270,Good
TN,447201,DEACONESS HOMECARE,123 PICKWICK STREET,SAVANNAH,38372,7319256626,Local,50,50,50,50,50,50,2/22/1983,5,5,95,5,94,5,93,5,95,93,290,38,970,300,1270,Good
TX,677796,TEXAS QUALITY HOME HEALTH,125 HERITAGE ROW,MARLIN,76661,2548033000,Local,50,50,50,50,50,50,3/23/1994,5,5,95,5,96,5,90,5,97,92,51,45,970,300,1270,Good
TX,747939,A DOSE OF CARE HOME HEALTH INC,301 N KING ST STE 108,ALICE,78332,3613964208,Local,50,50,50,50,50,50,2/12/2015,5,5,93,5,94,5,95,5,94,93,44,42,969,300,1269,Good
CA,557266,GENESIS HOME HEALTH INC,1687 ERRINGER RD STE 202,SIMI VALLEY,93065,8055207100,Local,50,50,50,50,50,50,3/29/1993,5,5,95,5,90,5,98,5,99,86,40,31,968,300,1268,Good
IL,147175,CRAWFORD MEMORIAL HOME HEALTH,"1108 N ALLEN STREET, SUITE A",ROBINSON,62454,6185465461,Official Health Agency,50,50,50,50,50,50,8/1/1979,5,5,93,5,97,5,94,5,99,85,47,39,968,300,1268,Good
IN,157654,GOLDEN AGE HOME HEALTH CARE LLC,"1711 SOUTH STATE ROAD 135, SUITE A",GREENWOOD,46143,3178932449,Local,50,50,50,50,50,50,1/4/2013,5,5,96,5,95,5,90,5,95,92,72,35,968,300,1268,Good
LA,197187,HOME HEALTH CTR OF THIBODAUX,804 BAYOU LANE,THIBODAUX,70301,9854478442,Hospital Based Program,50,50,50,50,50,50,6/21/1985,5,5,95,5,94,5,93,5,95,91,299,32,968,300,1268,Good
AR,47109,ACMC FAMILY HOME HEALTH,211 PINE STREET,CROSSETT,71635,8703645555,Hospital Based Program,50,50,50,50,50,50,8/14/1989,5,5,95,5,95,5,95,5,92,90,121,41,967,300,1267,Good
OK,377752,"MACARTHUR PARK HOME HEALTH, INC",120 WEST MACARTHUR,SHAWNEE,74804,4058784753,Official Health Agency,50,50,50,50,50,50,8/11/2011,5,5,93,5,94,5,94,5,96,90,51,41,967,300,1267,Good
TX,679496,YOUR HEALTH TEAM,1512 FM 2727,KAUFMAN,75142,9729628349,Local,50,50,50,50,50,50,6/2/2004,5,5,96,5,90,5,93,5,93,95,98,33,967,300,1267,Good
CT,77009,WESTBROOK VISITING NURSES & PUBLIC HEALTH,866 BOSTON POST ROAD,WESTBROOK,6498,8603993088,Visiting Nurse Association,50,50,50,50,50,50,7/1/1966,5,5,94,5,93,5,89,5,97,93,43,41,966,300,1266,Good
LA,197462,EUNICE COMMUNITY HOME HEALTH,3581 HIGHWAY 190,EUNICE,70535,3375500002,Local,50,50,50,50,50,50,7/8/1992,5,5,94,5,94,5,92,5,94,92,126,33,966,300,1266,Good
NC,347100,PRUITTHEALTH AT HOME - AVERY,"3616 MITCHELL AVENUE, SUITES 5 - 6",NEWLAND,28657,8287331550,Official Health Agency,50,50,50,50,50,50,7/1/1980,5,5,94,5,92,5,93,5,93,94,124,40,966,300,1266,Good
PA,397286,GOLDEN CARE OF NORTHEAST PA,200 OVERLOOK DRIVE SUITE 235,PITTSTON,18640,5706542883,Local,50,50,50,50,50,50,2/11/1985,5,5,94,5,96,5,88,5,94,94,64,50,966,300,1266,Good
TX,459266,ASSISTCARE,100 ZEID BOULEVARD SUITE B,HENDERSON,75652,9036574413,Local,50,50,50,50,50,50,5/13/1997,5,5,94,5,94,5,94,5,93,91,203,37,966,300,1266,Good
AL,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,2059210391,Local,50,50,50,50,50,50,10/29/1992,5,5,94,5,94,5,92,5,93,92,107,37,965,300,1265,Good
GA,117121,MUSCOGEE HOME HEALTH AGENCY,1725 WILLIAMS ROAD,COLUMBUS,31904,7065610855,Local,50,50,50,50,50,50,7/22/1998,5,5,93,5,93,5,95,5,97,87,47,32,965,300,1265,Good
LA,197612,"CONCEPTS OF CARE HOME HEALTH, INC",100 GENERAL MOUTON,LAFAYETTE,70501,3372899688,Local,50,50,50,50,50,50,11/19/1993,5,5,94,5,94,5,92,5,93,92,242,40,965,300,1265,Good
NH,307038,NEWFOUND AREA NURSING ASSN,214 LAKE STREET,BRISTOL,3222,6037442733,Visiting Nurse Association,50,50,50,50,50,50,8/20/1969,5,5,94,5,92,5,90,5,94,95,71,49,965,300,1265,Good
OH,368439,VISITING NURSING SERVICES OF WHEELING HOSPITAL-BEL,3000 GUERNSEY STREET,BELLAIRE,43906,7406718580,Local,50,50,50,50,50,50,5/3/2012,5,5,96,5,95,5,88,5,94,92,63,37,965,300,1265,Good
PA,398075,HUMAN TOUCH HOME HEALTH - ALLENTOWN,"1541 ALTA DRIVE, SUITE 207",WHITEHALL,18052,4846642940,Visiting Nurse Association,50,50,50,50,50,50,11/26/2007,5,5,96,5,90,5,93,5,94,92,45,23,965,300,1265,Good
IA,167181,MERCY HOME HEALTH CARE,540 E JEFFERSON ST SUITE 305,IOWA CITY,52245,3193582740,Hospital Based Program,50,50,50,50,50,50,2/4/1986,5,5,96,5,95,5,90,5,94,89,77,41,964,300,1264,Good
LA,197727,KEY HOME HEALTH CARE,16030 LAMONTE DRIVE SUITE A,HAMMOND,70403,9855491539,Official Health Agency,50,50,50,50,50,50,7/28/1995,5,5,93,5,94,5,91,5,95,91,114,27,964,300,1264,Good
LA,197729,SMART HEALTH CARE INC,6135 FAIRFIELD AVENUE,SHREVEPORT,71106,3188659747,Local,50,50,50,50,50,50,8/1/1995,5,5,95,5,90,5,94,5,94,91,81,41,964,300,1264,Good
MO,267121,SOUTHEAST HOME HEALTH,#10 DOCTORS PARK,CAPE GIRARDEAU,63703,5733356609,Hospital Based Program,50,50,50,50,50,50,1/6/1983,5,5,96,5,94,5,92,5,93,89,153,39,964,300,1264,Good
MS,257309,KINDRED AT HOME,"200 S. PONTOTOC ROAD, SUITE A",BRUCE,38915,6629832273,Local,50,50,50,50,50,50,2/26/1980,5,5,95,5,92,5,92,5,94,91,211,32,964,300,1264,Good
VA,497475,LIBERTY HOME CARE V LLC,797 WOODLAWN DRIVE - SUITE 103,STUART,24171,2767554766,Local,50,50,50,50,50,50,6/16/1994,5,5,94,5,94,5,91,5,95,90,95,34,964,300,1264,Good
CA,59289,"FIRST AID HOME HEALTH CARE, INC","337 E MAGNOLIA BLVD, UNIT A",BURBANK,91502,8185633337,Local,50,50,50,50,50,50,3/14/2011,5,5,95,5,95,5,91,5,93,89,50,32,963,300,1263,Good
CA,59677,"EDEN HOME HEALTH, INC.","20944 SHERMAN WAY, SUITE 207",CANOGA PARK,91303,8183240728,Local,50,50,50,50,50,50,7/27/2015,5,5,95,5,92,5,93,5,93,90,40,16,963,300,1263,Good
IN,157565,AMERICAN NURSING CARE INC,2504 WATERBRIDGE WAY,EVANSVILLE,47710,8124244262,Local,50,50,50,50,50,50,8/25/2005,5,5,95,5,91,5,91,5,93,93,73,31,963,300,1263,Good
TN,447556,CONTINUOUS CARE SERVICES,3530 CENTRAL PIKE SUITE 101,HERMITAGE,37076,6152634425,Local,50,50,50,50,50,50,12/7/1999,5,5,95,5,93,5,93,5,93,89,49,32,963,300,1263,Good
AL,17177,"SHOALS HOME SERVICES, LLC",1114 BRADSHAW DRIVE,FLORENCE,35630,2562469972,Local,50,50,50,50,50,50,8/15/2013,5,5,94,5,92,5,93,5,96,87,123,34,962,300,1262,Good
FL,109612,URRA HOME HEALTH CORP,8660 W FLAGLER ST STE 110,MIAMI,33144,3052212658,Official Health Agency,50,50,50,50,50,50,10/16/2010,5,5,96,5,89,5,89,5,95,93,56,16,962,300,1262,Good
FL,109709,A CARE CONNECTION HOME HEALTH,1525A THE GREENS WAY,JACKSONVILLE BEACH,32250,9048995520,Local,50,50,50,50,50,50,9/4/2011,5,5,94,5,93,5,92,5,93,90,87,33,962,300,1262,Good
IA,167136,GREAT RIVER HOME HEALTH CARE,1306 SOUTH WASHINGTON ROAD,WEST BURLINGTON,52655,3197683350,Hospital Based Program,50,50,50,50,50,50,1/18/1984,5,5,94,5,92,5,93,5,93,90,145,34,962,300,1262,Good
LA,197778,"PRIME CARE HOME HEALTH, A PART OF THE ELARA CARING","42276 VETERANS AVENUE, SUITE B",HAMMOND,70403,9853408000,Local,50,50,50,50,50,50,9/5/2003,5,5,93,5,91,5,93,5,95,90,120,30,962,300,1262,Good
MI,237617,OMNI HOME HEALTH CARE,"25932 DEQUINDRE ROAD, SUITE A",WARREN,48091,5865820188,Local,50,50,50,50,50,50,9/14/2006,5,5,93,5,91,5,91,5,96,91,74,35,962,300,1262,Good
MO,267462,NORTH KANSAS CITY HOSPITAL HOME HEALTH SERVICES,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,64116,8166911358,Hospital Based Program,50,50,50,50,50,50,9/14/1994,5,5,93,5,92,5,92,5,94,91,308,35,962,300,1262,Good
MS,257117,MAGNOLIA REGIONAL HEALTH CENTER HH & HOSPICE AGENC,1001 SOUTH HARPER ROAD,CORINTH,38834,6626658016,Hospital Based Program,50,50,50,50,50,50,4/1/1978,5,5,94,5,94,5,92,5,93,89,135,25,962,300,1262,Good
TX,679106,ACTIVE HOME CARE SERVICES,401 NORTH STEMMONS,SANGER,76266,9406864663,Local,50,50,50,50,50,50,2/7/2002,5,5,94,5,91,5,92,5,94,91,57,44,962,300,1262,Good
VA,497569,IN HOME CARE  INC,201 NOTTINGHAM AVE,WISE,24293,2763289340,Local,50,50,50,50,50,50,6/27/2001,5,5,96,5,91,5,89,5,92,94,67,20,962,300,1262,Good
LA,197063,LOUISIANA HOMECARE OF MISS-LOU,200 SERIO BLVD,FERRIDAY,71334,3183362323,Local,50,50,50,50,50,50,8/18/1980,5,5,94,5,93,5,90,5,91,93,103,25,961,300,1261,Good
LA,197315,KINDRED AT HOME,"422 KADE STREET, SUITE 3",JENNINGS,70546,3376163077,Local,50,50,50,50,50,50,9/28/1983,5,5,94,5,92,5,91,5,95,89,314,28,961,300,1261,Good
LA,197443,AMEDISYS HOME HEALTH,4015 COMMON STREET,LAKE CHARLES,70607,3374779820,Local,50,50,50,50,50,50,4/6/1992,5,5,93,5,93,5,91,5,92,92,89,32,961,300,1261,Good
LA,197776,LOUISIANA HOMECARE/ SPRINGHILL,1112 DOCTORS DRIVE,SPRINGHILL,71075,3185395980,Local,50,50,50,50,50,50,8/7/2002,5,5,95,5,93,5,90,5,93,90,164,35,961,300,1261,Good
PA,397442,WINDBER HOME HEALTH AGENCY,600 SOMERSET AVENUE,WINDBER,15963,8144673000,Hospital Based Program,50,50,50,50,50,50,4/1/1986,5,5,94,5,92,5,89,5,94,92,240,46,961,300,1261,Good
PA,397631,UPMC HOME HEALTHCARE,628 NORTH FRALEY STREET,KANE,16735,8148375171,Hospital Based Program,50,50,50,50,50,50,3/17/1995,5,5,95,5,90,5,92,5,94,90,85,47,961,300,1261,Good
TX,677101,HEALING HANDS HEALTHCARE LLC,901 INDIANA AVE STE # 665,WICHITA FALLS,76301,9404320588,Local,50,50,50,50,50,50,6/29/1987,5,5,94,5,91,5,91,5,94,91,273,38,961,300,1261,Good
AR,47046,ELITE HOME HEALTH,54 GRASSE STREET,CALICO ROCK,72519,8702973738,Local,50,50,50,50,50,50,3/18/1982,5,5,95,5,91,5,92,5,91,91,166,37,960,300,1260,Good
CA,557774,IDEAL HOME CARE INC,2117 FOOTHILL BLVD SUITE J,LA VERNE,91750,9093922205,Local,50,50,50,50,50,50,1/6/1997,5,5,94,5,90,5,96,5,95,85,42,25,960,300,1260,Good
LA,197026,PROFESSIONAL HH SVC OF MINDEN,111 RYAN'S WAY,MINDEN,71055,3183771709,Local,50,50,50,50,50,50,7/27/1970,5,5,95,5,93,5,90,5,93,89,151,37,960,300,1260,Good
MO,267269,"CARING NURSES HOME HEALTH AGENCY, INC","5911 N W BARRY ROAD, SUITE 200",KANSAS CITY,64154,8165877722,Local,50,50,50,50,50,50,12/18/1987,5,5,93,5,92,5,91,5,94,90,221,48,960,300,1260,Good
PA,397714,SANDIN HOME HEALTH SERVICES,1119 BROADWAY STREET,EAST MCKEESPORT,15035,4128162325,Local,50,50,50,50,50,50,8/25/1997,5,5,96,5,97,5,89,5,93,85,55,44,960,300,1260,Good
TX,457489,CHILDRESS REGIONAL MEDICAL CENTER HOME HEALTH SERV,901 HIGHWAY 83 NORTH,CHILDRESS,79201,9409372500,Hospital Based Program,50,50,50,50,50,50,7/24/1983,5,5,94,5,91,5,93,5,97,85,47,32,960,300,1260,Good
TX,677455,JORDAN HEALTH SERVICES,3657 US HIGHWAY 377 SOUTH STE A,BROWNWOOD,76801,3256434999,Local,50,50,50,50,50,50,1/28/1992,5,5,92,5,91,5,96,5,93,88,93,33,960,300,1260,Good
TX,677920,EXCEL COMPLETE HOME HEALTHCARE INC,3804 JOHN STOCKBAUER DRIVE SUITE E,VICTORIA,77904,3615754500,Official Health Agency,50,50,50,50,50,50,5/3/2006,5,5,94,5,94,5,91,5,91,90,103,33,960,300,1260,Good
TX,679237,SOUTHERN HOME HEALTH,2348 HWY 69 N,NEDERLAND,77627,4097219075,Local,50,50,50,50,50,50,3/12/2003,5,5,93,5,94,5,91,5,94,88,85,26,960,300,1260,Good
TX,747918,CARESTAT HOME CARE,13310 LEOPARD SUITE 21,CORPUS CHRISTI,78410,3612412244,Local,50,50,50,50,50,50,12/7/2012,5,5,94,5,94,5,94,5,92,86,42,46,960,300,1260,Good
CT,77166,MCLEAN HOME CARE AND HOSPICE,75 GREAT POND RD,SIMSBURY,6070,8606583950,Local,50,50,50,50,50,50,12/13/1985,5,5,95,5,94,5,88,5,91,91,153,39,959,300,1259,Good
GA,117012,COMMUNITY HOME CARE,140 COLONIAL WAY,JESUP,31545,9124278051,Local,50,50,50,50,50,50,3/5/1968,5,5,94,5,89,5,92,5,92,92,136,31,959,300,1259,Good
IL,147887,"ADVANTA HOME HEALTH CARE, INC","1500 SKOKIE BOULEVARD, STE 410",NORTHBROOK,60062,8475040888,Local,50,50,50,50,50,50,6/2/2006,5,5,98,5,91,5,92,5,90,88,171,39,959,300,1259,Good
KS,177017,SALINE COUNTY HEALTH DEPARTMENT,125 WEST ELM STREET,SALINA,67401,7858266606,Official Health Agency,50,50,50,50,50,50,7/1/1966,5,5,94,5,93,5,93,5,91,88,45,36,959,300,1259,Good
LA,197765,AMEDISYS HOME HEALTH CARE,3501 N CAUSEWAY BLVD  STE 200,METAIRIE,70002,5048387080,Local,50,50,50,50,50,50,6/20/2000,5,5,95,5,94,5,89,5,94,87,213,23,959,300,1259,Good
MA,227479,KINDRED AT HOME,"313 BOSTON POST ROAD WEST, STE 280",MARLBOROUGH,1752,5084814930,Visiting Nurse Association,50,50,50,50,50,50,5/25/2004,5,5,95,5,93,5,88,5,93,90,110,40,959,300,1259,Good
PA,397196,UPMC SOMERSET HOME HEALTH AND HOSPICE,223 SOUTH PLEASANT AVENUE,SOMERSET,15501,8144434663,Hospital Based Program,50,50,50,50,50,50,6/13/1983,5,5,95,5,92,5,91,5,92,89,382,47,959,300,1259,Good
TN,447188,AMEDISYS HOME HEALTH OF TENNESSEE,1006 OLD KNOXVILLE ROAD,TAZEWELL,37879,4236262405,Local,50,50,50,50,50,50,11/29/1982,5,5,93,5,92,5,88,5,93,93,323,30,959,300,1259,Good
VA,497713,ACCESS HOME HEALTH CARE AND REHABILITATION,1123 E STUART DRIVE,GALAX,24333,2762663149,Local,50,50,50,50,50,50,4/2/2015,5,5,93,5,93,5,90,5,92,91,222,59,959,300,1259,Good
KY,187183,KINDRED AT HOME,"105 CITATION DRIVE, SUITE B",DANVILLE,40422,8592362193,Official Health Agency,50,50,50,50,50,50,6/15/2012,5,5,95,5,92,5,89,5,93,89,359,37,958,300,1258,Good
LA,197154,POINTE COUPEE HOMEBOUND HEALTH,350 HOSPITAL ROAD,NEW ROADS,70760,2256385717,Local,50,50,50,50,50,50,8/17/1984,5,5,94,5,94,5,91,5,94,85,167,36,958,300,1258,Good
ME,207070,YORK HOSPITAL HOME CARE,"127 LONG SANDS ROAD, SUITE 12",YORK,3909,2073512194,Hospital Based Program,50,50,50,50,50,50,4/17/1998,5,5,93,5,92,5,89,5,93,91,358,36,958,300,1258,Good
MI,237279,SCHOOLCRAFT MEMORIAL HOMECARE AND HOSPICE,115 LAKE ST,MANISTIQUE,49854,9063413284,Hospital Based Program,50,50,50,50,50,50,6/13/1995,5,5,90,5,91,5,91,5,92,94,97,46,958,300,1258,Good
