State,Rank,CMS Certification Number (CCN)*,Provider Name,Address,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Rank,Score,Offers,Total Score,Color Rating,Latitude,Longitude
TX,17,677850,TEXOMA HOME HEALTH,"2008 LOY LAKE ROAD, SHERMAN TX 75092",9038689991,Local,50,50,50,50,50,50,38796,5,5,93,5,96,5,97,5,98,96,80,17,980,300,1280,Top,33.6584195,-96.606403
CT,18,77078,ORANGE VISITING NURSE ASSOCIATION,"605A ORANGE CENTER RD, ORANGE CT 6477",2038912165,Visiting Nurse Association,50,50,50,50,50,50,24289,5,5,97,5,96,5,90,5,98,98,80,18,979,300,1279,Top,41.2781071,-73.0252929
KY,19,187021,MIDDLESBORO ARH HOME HEALTH AGENCY,"1916 CUMBERLAND AVENUE, MIDDLESBORO KY 40965",6062421404,Official Health Agency,50,50,50,50,50,50,25212,5,5,96,5,98,5,93,5,99,93,50,19,979,300,1279,Top,36.6074434,-83.7134179
OK,20,377778,OLDHAM HOME CARE LLC,"519 EAST MAIN STREET, STIGLER OK 74462",9189679971,Local,50,50,50,50,50,50,41907,5,5,97,5,91,5,98,5,96,97,52,20,979,300,1279,Top,35.2531361,-95.1201703
TX,21,677841,PATIENTS BEST CHOICE HOME HEALTHCARE,"3427 W FM 120 SUITE 105, DENISON TX 75020",9034620604,Local,50,50,50,50,50,50,38792,5,5,96,5,97,5,94,5,95,96,126,21,978,300,1278,Top,33.7615198,-96.5886412
TX,22,679081,SOUTH WEST TEXAS HOME HEALTH INC,"150 LAMESA DR, BRIDGE CITY TX 77611",4097356100,Official Health Agency,50,50,50,50,50,50,37188,5,5,98,5,96,5,90,5,94,100,81,22,978,300,1278,Top,30.0350551,-93.8301689
CO,23,67443,SUPER HEALTH CARE INC,"6795 E TENNESSEE AVE SUITE 225, DENVER CO 80224",3039911009,Local,50,50,50,50,50,50,38349,5,5,98,5,98,5,93,5,95,93,212,23,977,300,1277,Top,39.6990469,-104.9098215
CA,24,59641,CAMARILLO HHCA INC,"18107 SHERMAN WAY, SUITE 212, RESEDA CA 91335",8183452200,Local,50,50,50,50,50,50,41961,5,5,94,5,95,5,94,5,99,94,43,24,976,300,1276,Top,34.2014778,-118.5277222
OK,25,377719,FAMILY CHOICE HOME CARE,"801 W 2ND STREET, ELK CITY OK 73644",5802254140,Local,50,50,50,50,50,50,39581,5,5,95,5,96,5,96,5,97,92,47,25,976,300,1276,Top,35.4129387,-99.4132164
OK,26,377723,UNITY HOME HEALTH L L C,"1415 WEST MAIN STREET, SUITE 200, DURANT OK 74701",5809310995,Official Health Agency,50,50,50,50,50,50,39682,5,5,96,5,96,5,92,5,96,96,67,26,976,300,1276,Top,33.9942975,-96.3918069
TX,27,747956,COLEMAN HOME HEALTH AND HOSPICE INC,"406 WEST ELM STREET, COLEMAN TX 76834",3256253222,Local,50,50,50,50,50,50,42075,5,5,95,5,95,5,95,5,97,94,64,27,976,300,1276,Top,31.8283671,-99.4262909
LA,28,197114,BUNKIE HOMECARE,"1123 SHIRLEY ROAD, BUNKIE LA 71322",3183463312,Local,50,50,50,50,50,50,30732,5,5,95,5,96,5,95,5,94,95,124,28,975,300,1275,Top,30.9590909,-92.195972
TX,29,453144,PATHFINDER HOME HEALTH,"311 S PALESTINE STREET, ATHENS TX 75751",9036778301,Local,50,50,50,50,50,50,38217,5,5,96,5,95,5,92,5,98,94,73,29,975,300,1275,Top,32.2000979,-95.8534153
TN,30,447264,"HMC HOME HEALTH, LLC","115 PATTERSON ROAD, SAVANNAH TN 38372",7319250276,Local,50,50,50,50,50,50,30735,5,5,95,5,96,5,96,5,94,93,182,30,974,300,1274,Top,35.2290822,-88.232464
TX,31,677428,CARE PLUS HOME HEALTH,"101 NORTH PECAN ST, WOODVILLE TX 75979",4092833600,Local,50,50,50,50,50,50,33479,5,5,93,5,95,5,93,5,96,97,65,31,974,300,1274,Top,30.7756996,-94.4238823
CA,32,59459,"PLEASANT HOME HEALTH CARE, INC.","1516 NORTH SAN FERNANDO BLVD, STE 206, BURBANK CA 91504",8186011380,Local,50,50,50,50,50,50,41082,5,5,89,5,94,5,100,5,100,90,57,32,973,300,1273,Top,34.1913828,-118.322474
LA,33,197769,ACADIAN HOMECARE / ABBEVILLE,"302 NORTH HOSPITAL DRIVE, ABBEVILLE LA 70510",3378920805,Local,50,50,50,50,50,50,37133,5,5,97,5,95,5,92,5,94,95,107,33,973,300,1273,Top,29.9736474,-92.1073807
CA,34,59035,CENTRAL HOME HEALTH AGENCY,"210 N. CENTRAL AVENUE, SUITE 210, GLENDALE CA 91203",8182420439,Local,50,50,50,50,50,50,39822,5,5,94,5,96,5,94,5,96,92,52,34,972,300,1272,Top,34.1484943,-118.2576188
CA,35,59737,"RH HOME HEALTH SERVICES, INC.","229 N. CENTRAL AVE., SUITE 610, GLENDALE CA 91203",8184765688,Local,50,50,50,50,50,50,42511,5,5,95,5,94,5,100,5,88,95,40,35,972,300,1272,Top,34.1491171,-118.258167
MI,36,239280,M&Y CARE,"7125 ORCHARD LAKE RD, SUITE 210, WEST BLOOMFIELD MI 48322",2487572410,Local,50,50,50,50,50,50,41422,5,5,97,5,96,5,94,5,99,86,80,36,972,300,1272,Top,42.5328992,-83.3591535
TX,37,747493,CARINGBRIDGE HOME HEALTH CARE LLC,"207 SOUTH TRAVIS STREET, SHERMAN TX 75090",9038701000,Local,50,50,50,50,50,50,40506,5,5,92,5,93,5,99,5,96,92,70,37,972,300,1272,Top,33.6352897,-96.6087714
LA,38,197470,KINDRED AT HOME,"1305 DEREK DRIVE, SUITES 1 & 2, HAMMOND LA 70403",9854299040,Local,50,50,50,50,50,50,33862,5,5,95,5,93,5,95,5,95,93,110,38,971,300,1271,Top,30.487023,-90.4844874
MI,39,237791,ALLIED HOME HEALTH CARE & NURSING SERVICES,"4800 CADIEUX ROAD, DETROIT MI 48224",3138857841,Local,50,50,50,50,50,50,39759,5,5,96,5,92,5,93,5,99,91,40,39,971,300,1271,Top,42.4053232,-82.9282646
FL,40,103179,MGN HEALTHCARE SERVICES,"6175 NW 153RD STREET STE 328, MIAMI LAKES FL 33014",3057704650,Local,50,50,50,50,50,50,41366,5,5,98,5,95,5,90,5,95,92,62,40,970,300,1270,Top,25.9131458,-80.3010707
LA,41,197295,"MANGHAM HOME CARE, INC.","714 BROADWAY, MANGHAM LA 71259",3182482797,Local,50,50,50,50,50,50,33273,5,5,96,5,94,5,94,5,93,93,52,41,970,300,1270,Top,32.3053419,-91.7755191
PA,42,397638,PARAGON HOME HEALTH CARE CORPORATION,"36 N SCOTT STREET, CARBONDALE PA 18407",5702821770,Local,50,50,50,50,50,50,34887,5,5,97,5,95,5,92,5,92,94,53,42,970,300,1270,Top,41.5751593,-75.5084255
TN,43,447201,DEACONESS HOMECARE,"123 PICKWICK STREET, SAVANNAH TN 38372",7319256626,Local,50,50,50,50,50,50,30369,5,5,95,5,94,5,93,5,95,93,290,43,970,300,1270,Top,35.2255115,-88.2457889
TX,44,677796,TEXAS QUALITY HOME HEALTH,"125 HERITAGE ROW, MARLIN TX 76661",2548033000,Local,50,50,50,50,50,50,34416,5,5,95,5,96,5,90,5,97,92,51,44,970,300,1270,Top,31.3091158,-96.8966275
TX,45,747939,A DOSE OF CARE HOME HEALTH INC,"301 N KING ST STE 108, ALICE TX 78332",3613964208,Local,50,50,50,50,50,50,42047,5,5,93,5,94,5,95,5,94,93,44,45,969,300,1269,Top,27.7534679,-98.0760598
CA,46,557266,GENESIS HOME HEALTH INC,"1687 ERRINGER RD STE 202, SIMI VALLEY CA 93065",8055207100,Local,50,50,50,50,50,50,34057,5,5,95,5,90,5,98,5,99,86,40,46,968,300,1268,Top,34.2688927,-118.7617726
IL,47,147175,CRAWFORD MEMORIAL HOME HEALTH,"1108 N ALLEN STREET, SUITE A, ROBINSON IL 62454",6185465461,Official Health Agency,50,50,50,50,50,50,29068,5,5,93,5,97,5,94,5,99,85,47,47,968,300,1268,Top,39.0142459,-87.748566
IN,48,157654,GOLDEN AGE HOME HEALTH CARE LLC,"1711 SOUTH STATE ROAD 135, SUITE A, GREENWOOD IN 46143",3178932449,Local,50,50,50,50,50,50,41278,5,5,96,5,95,5,90,5,95,92,72,48,968,300,1268,Top,39.5920933,-86.1583388
LA,49,197187,HOME HEALTH CTR OF THIBODAUX,"804 BAYOU LANE, THIBODAUX LA 70301",9854478442,Hospital Based Program,50,50,50,50,50,50,31219,5,5,95,5,94,5,93,5,95,91,299,49,968,300,1268,Top,29.7860037,-90.8110767
AR,50,47109,ACMC FAMILY HOME HEALTH,"211 PINE STREET, CROSSETT AR 71635",8703645555,Hospital Based Program,50,50,50,50,50,50,32734,5,5,95,5,95,5,95,5,92,90,121,50,967,300,1267,Top,33.1337602,-91.9603129
OK,51,377752,"MACARTHUR PARK HOME HEALTH, INC","120 WEST MACARTHUR, SHAWNEE OK 74804",4058784753,Official Health Agency,50,50,50,50,50,50,40766,5,5,93,5,94,5,94,5,96,90,51,51,967,300,1267,Top,35.3626918,-96.9257793
TX,52,679496,YOUR HEALTH TEAM,"1512 FM 2727, KAUFMAN TX 75142",9729628349,Local,50,50,50,50,50,50,38140,5,5,96,5,90,5,93,5,93,95,98,52,967,300,1267,Top,32.5892095,-96.2735145
CT,53,77009,WESTBROOK VISITING NURSES & PUBLIC HEALTH,"866 BOSTON POST ROAD, WESTBROOK CT 6498",8603993088,Visiting Nurse Association,50,50,50,50,50,50,24289,5,5,94,5,93,5,89,5,97,93,43,53,966,300,1266,Top,41.2815316,-72.458869
LA,54,197462,EUNICE COMMUNITY HOME HEALTH,"3581 HIGHWAY 190, EUNICE LA 70535",3375500002,Local,50,50,50,50,50,50,33793,5,5,94,5,94,5,92,5,94,92,126,54,966,300,1266,Top,30.4959195,-92.3835101
NC,55,347100,PRUITTHEALTH AT HOME - AVERY,"3616 MITCHELL AVENUE, SUITES 5 - 6, NEWLAND NC 28657",8287331550,Official Health Agency,50,50,50,50,50,50,29403,5,5,94,5,92,5,93,5,93,94,124,55,966,300,1266,Top,36.0873484,-81.9273362
PA,56,397286,GOLDEN CARE OF NORTHEAST PA,"200 OVERLOOK DRIVE SUITE 235, PITTSTON PA 18640",5706542883,Local,50,50,50,50,50,50,31089,5,5,94,5,96,5,88,5,94,94,64,56,966,300,1266,Top,41.3146246,-75.8063833
TX,57,459266,ASSISTCARE,"100 ZEID BOULEVARD SUITE B, HENDERSON TX 75652",9036574413,Local,50,50,50,50,50,50,35563,5,5,94,5,94,5,94,5,93,91,203,57,966,300,1266,Top,32.167379,-94.779141
AL,58,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2, HAMILTON AL 35570",2059210391,Local,50,50,50,50,50,50,33906,5,5,94,5,94,5,92,5,93,92,107,58,965,300,1265,Top,34.142067,-87.990251
GA,59,117121,MUSCOGEE HOME HEALTH AGENCY,"1725 WILLIAMS ROAD, COLUMBUS GA 31904",7065610855,Local,50,50,50,50,50,50,35998,5,5,93,5,93,5,95,5,97,87,47,59,965,300,1265,Top,32.5707017,-84.9677223
LA,60,197612,"CONCEPTS OF CARE HOME HEALTH, INC","100 GENERAL MOUTON, LAFAYETTE LA 70501",3372899688,Local,50,50,50,50,50,50,34292,5,5,94,5,94,5,92,5,93,92,242,60,965,300,1265,Top,30.218258,-92.018065
NH,61,307038,NEWFOUND AREA NURSING ASSN,"214 LAKE STREET, BRISTOL NH 3222",6037442733,Visiting Nurse Association,50,50,50,50,50,50,25435,5,5,94,5,92,5,90,5,94,95,71,61,965,300,1265,Top,43.5950616,-71.7441029
OH,62,368439,VISITING NURSING SERVICES OF WHEELING HOSPITAL-BEL,"3000 GUERNSEY STREET, BELLAIRE OH 43906",7406718580,Local,50,50,50,50,50,50,41032,5,5,96,5,95,5,88,5,94,92,63,62,965,300,1265,Top,40.0123772,-80.7460821
PA,63,398075,HUMAN TOUCH HOME HEALTH - ALLENTOWN,"1541 ALTA DRIVE, SUITE 207, WHITEHALL PA 18052",4846642940,Visiting Nurse Association,50,50,50,50,50,50,39412,5,5,96,5,90,5,93,5,94,92,45,63,965,300,1265,Top,40.6270862,-75.4861963
IA,64,167181,MERCY HOME HEALTH CARE,"540 E JEFFERSON ST SUITE 305, IOWA CITY IA 52245",3193582740,Hospital Based Program,50,50,50,50,50,50,31447,5,5,96,5,95,5,90,5,94,89,77,64,964,300,1264,Top,41.6633026,-91.527747
LA,65,197727,KEY HOME HEALTH CARE,"16030 LAMONTE DRIVE SUITE A, HAMMOND LA 70403",9855491539,Official Health Agency,50,50,50,50,50,50,34908,5,5,93,5,94,5,91,5,95,91,114,65,964,300,1264,Top,30.4721871,-90.4560968
LA,66,197729,SMART HEALTH CARE INC,"6135 FAIRFIELD AVENUE, SHREVEPORT LA 71106",3188659747,Local,50,50,50,50,50,50,34912,5,5,95,5,90,5,94,5,94,91,81,66,964,300,1264,Top,32.449556,-93.7499364
MO,67,267121,SOUTHEAST HOME HEALTH,"#10 DOCTORS PARK, CAPE GIRARDEAU MO 63703",5733356609,Hospital Based Program,50,50,50,50,50,50,30322,5,5,96,5,94,5,92,5,93,89,153,67,964,300,1264,Top,37.2982446,-89.5759565
MS,68,257309,KINDRED AT HOME,"200 S. PONTOTOC ROAD, SUITE A, BRUCE MS 38915",6629832273,Local,50,50,50,50,50,50,29277,5,5,95,5,92,5,92,5,94,91,211,68,964,300,1264,Top,33.9886515,-89.3499296
VA,69,497475,LIBERTY HOME CARE V LLC,"797 WOODLAWN DRIVE - SUITE 103, STUART VA 24171",2767554766,Local,50,50,50,50,50,50,34501,5,5,94,5,94,5,91,5,95,90,95,69,964,300,1264,Top,36.6444785,-80.254631
CA,70,59289,"FIRST AID HOME HEALTH CARE, INC","337 E MAGNOLIA BLVD, UNIT A, BURBANK CA 91502",8185633337,Local,50,50,50,50,50,50,40616,5,5,95,5,95,5,91,5,93,89,50,70,963,300,1263,Top,34.1849795,-118.309916
CA,71,59677,"EDEN HOME HEALTH, INC.","20944 SHERMAN WAY, SUITE 207, CANOGA PARK CA 91303",8183240728,Local,50,50,50,50,50,50,42212,5,5,95,5,92,5,93,5,93,90,40,71,963,300,1263,Top,34.200745,-118.5900354
IN,72,157565,AMERICAN NURSING CARE INC,"2504 WATERBRIDGE WAY, EVANSVILLE IN 47710",8124244262,Local,50,50,50,50,50,50,38589,5,5,95,5,91,5,91,5,93,93,73,72,963,300,1263,Top,38.0018207,-87.5718411
TN,73,447556,CONTINUOUS CARE SERVICES,"3530 CENTRAL PIKE SUITE 101, HERMITAGE TN 37076",6152634425,Local,50,50,50,50,50,50,36501,5,5,95,5,93,5,93,5,93,89,49,73,963,300,1263,Top,36.1849033,-86.6294084
AL,74,17177,"SHOALS HOME SERVICES, LLC","1114 BRADSHAW DRIVE, FLORENCE AL 35630",2562469972,Local,50,50,50,50,50,50,41501,5,5,94,5,92,5,93,5,96,87,123,74,962,300,1262,Top,34.8336331,-87.6664191
FL,75,109612,URRA HOME HEALTH CORP,"8660 W FLAGLER ST STE 110, MIAMI FL 33144",3052212658,Official Health Agency,50,50,50,50,50,50,40467,5,5,96,5,89,5,89,5,95,93,56,75,962,300,1262,Top,25.7690792,-80.3355186
FL,76,109709,A CARE CONNECTION HOME HEALTH,"1525A THE GREENS WAY, JACKSONVILLE BEACH FL 32250",9048995520,Local,50,50,50,50,50,50,40790,5,5,94,5,93,5,92,5,93,90,87,76,962,300,1262,Top,30.254489,-81.401375
IA,77,167136,GREAT RIVER HOME HEALTH CARE,"1306 SOUTH WASHINGTON ROAD, WEST BURLINGTON IA 52655",3197683350,Hospital Based Program,50,50,50,50,50,50,30699,5,5,94,5,92,5,93,5,93,90,145,77,962,300,1262,Top,40.8077857,-91.1788258
LA,78,197778,"PRIME CARE HOME HEALTH, A PART OF THE ELARA CARING","42276 VETERANS AVENUE, SUITE B, HAMMOND LA 70403",9853408000,Local,50,50,50,50,50,50,37869,5,5,93,5,91,5,93,5,95,90,120,78,962,300,1262,Top,30.4730156,-90.456569
MI,79,237617,OMNI HOME HEALTH CARE,"25932 DEQUINDRE ROAD, SUITE A, WARREN MI 48091",5865820188,Local,50,50,50,50,50,50,38974,5,5,93,5,91,5,91,5,96,91,74,79,962,300,1262,Top,42.4832861,-83.0826504
MO,80,267462,NORTH KANSAS CITY HOSPITAL HOME HEALTH SERVICES,"2800 CLAY EDWARDS DRIVE, NORTH KANSAS CITY MO 64116",8166911358,Hospital Based Program,50,50,50,50,50,50,34591,5,5,93,5,92,5,92,5,94,91,308,80,962,300,1262,Top,39.1495404,-94.551452
MS,81,257117,MAGNOLIA REGIONAL HEALTH CENTER HH & HOSPICE AGENC,"1001 SOUTH HARPER ROAD, CORINTH MS 38834",6626658016,Hospital Based Program,50,50,50,50,50,50,28581,5,5,94,5,94,5,92,5,93,89,135,81,962,300,1262,Top,34.9204205,-88.4957091
TX,82,679106,ACTIVE HOME CARE SERVICES,"401 NORTH STEMMONS, SANGER TX 76266",9406864663,Local,50,50,50,50,50,50,37294,5,5,94,5,91,5,92,5,94,91,57,82,962,300,1262,Top,33.363453,-97.181708
VA,83,497569,IN HOME CARE  INC,"201 NOTTINGHAM AVE, WISE VA 24293",2763289340,Local,50,50,50,50,50,50,37069,5,5,96,5,91,5,89,5,92,94,67,83,962,300,1262,Top,36.9779796,-82.5783835
LA,84,197063,LOUISIANA HOMECARE OF MISS-LOU,"200 SERIO BLVD, FERRIDAY LA 71334",3183362323,Local,50,50,50,50,50,50,29451,5,5,94,5,93,5,90,5,91,93,103,84,961,300,1261,Top,31.6495079,-91.5563353
LA,85,197315,KINDRED AT HOME,"422 KADE STREET, SUITE 3, JENNINGS LA 70546",3376163077,Local,50,50,50,50,50,50,30587,5,5,94,5,92,5,91,5,95,89,314,85,961,300,1261,Top,30.2386897,-92.6604594
LA,86,197443,AMEDISYS HOME HEALTH,"4015 COMMON STREET, LAKE CHARLES LA 70607",3374779820,Local,50,50,50,50,50,50,33700,5,5,93,5,93,5,91,5,92,92,89,86,961,300,1261,Top,30.1850007,-93.2135133
LA,87,197776,LOUISIANA HOMECARE/ SPRINGHILL,"1112 DOCTORS DRIVE, SPRINGHILL LA 71075",3185395980,Local,50,50,50,50,50,50,37475,5,5,95,5,93,5,90,5,93,90,164,87,961,300,1261,Top,33.0113256,-93.4447491
PA,88,397442,WINDBER HOME HEALTH AGENCY,"600 SOMERSET AVENUE, WINDBER PA 15963",8144673000,Hospital Based Program,50,50,50,50,50,50,31503,5,5,94,5,92,5,89,5,94,92,240,88,961,300,1261,Top,40.2428347,-78.8372055
PA,89,397631,UPMC HOME HEALTHCARE,"628 NORTH FRALEY STREET, KANE PA 16735",8148375171,Hospital Based Program,50,50,50,50,50,50,34775,5,5,95,5,90,5,92,5,94,90,85,89,961,300,1261,Top,41.6720035,-78.81534
TX,90,677101,HEALING HANDS HEALTHCARE LLC,"901 INDIANA AVE STE # 665, WICHITA FALLS TX 76301",9404320588,Local,50,50,50,50,50,50,31957,5,5,94,5,91,5,91,5,94,91,273,90,961,300,1261,Top,33.9116171,-98.4896059
AR,91,47046,ELITE HOME HEALTH,"54 GRASSE STREET, CALICO ROCK AR 72519",8702973738,Local,50,50,50,50,50,50,30028,5,5,95,5,91,5,92,5,91,91,166,91,960,300,1260,Top,36.1258466,-92.1285907
CA,92,557774,IDEAL HOME CARE INC,"2117 FOOTHILL BLVD SUITE J, LA VERNE CA 91750",9093922205,Local,50,50,50,50,50,50,35436,5,5,94,5,90,5,96,5,95,85,42,92,960,300,1260,Top,34.1143988,-117.7647013
LA,93,197026,PROFESSIONAL HH SVC OF MINDEN,"111 RYAN'S WAY, MINDEN LA 71055",3183771709,Local,50,50,50,50,50,50,25776,5,5,95,5,93,5,90,5,93,89,151,93,960,300,1260,Top,32.588131,-93.259929
MO,94,267269,"CARING NURSES HOME HEALTH AGENCY, INC","5911 N W BARRY ROAD, SUITE 200, KANSAS CITY MO 64154",8165877722,Local,50,50,50,50,50,50,32129,5,5,93,5,92,5,91,5,94,90,221,94,960,300,1260,Top,39.245654,-94.6484656
PA,95,397714,SANDIN HOME HEALTH SERVICES,"1119 BROADWAY STREET, EAST MCKEESPORT PA 15035",4128162325,Local,50,50,50,50,50,50,35667,5,5,96,5,97,5,89,5,93,85,55,95,960,300,1260,Top,40.3823636,-79.8110481
TX,96,457489,CHILDRESS REGIONAL MEDICAL CENTER HOME HEALTH SERV,"901 HIGHWAY 83 NORTH, CHILDRESS TX 79201",9409372500,Hospital Based Program,50,50,50,50,50,50,30521,5,5,94,5,91,5,93,5,97,85,47,96,960,300,1260,Top,34.4392524,-100.2268949
TX,97,677455,JORDAN HEALTH SERVICES,"3657 US HIGHWAY 377 SOUTH STE A, BROWNWOOD TX 76801",3256434999,Local,50,50,50,50,50,50,33631,5,5,92,5,91,5,96,5,93,88,93,97,960,300,1260,Top,32.4539707,-97.7313863
TX,98,677920,EXCEL COMPLETE HOME HEALTHCARE INC,"3804 JOHN STOCKBAUER DRIVE SUITE E, VICTORIA TX 77904",3615754500,Official Health Agency,50,50,50,50,50,50,38840,5,5,94,5,94,5,91,5,91,90,103,98,960,300,1260,Top,28.8500933,-96.9781709
TX,99,679237,SOUTHERN HOME HEALTH,"2348 HWY 69 N, NEDERLAND TX 77627",4097219075,Local,50,50,50,50,50,50,37692,5,5,93,5,94,5,91,5,94,88,85,99,960,300,1260,Top,29.9721417,-94.0231781
TX,100,747918,CARESTAT HOME CARE,"13310 LEOPARD SUITE 21, CORPUS CHRISTI TX 78410",3612412244,Local,50,50,50,50,50,50,41250,5,5,94,5,94,5,94,5,92,86,42,100,960,300,1260,Top,27.858324,-97.626972
CT,101,77166,MCLEAN HOME CARE AND HOSPICE,"75 GREAT POND RD, SIMSBURY CT 6070",8606583950,Local,50,50,50,50,50,50,31394,5,5,95,5,94,5,88,5,91,91,153,101,959,300,1259,Top,41.8821627,-72.8280072
GA,102,117012,COMMUNITY HOME CARE,"140 COLONIAL WAY, JESUP GA 31545",9124278051,Local,50,50,50,50,50,50,24902,5,5,94,5,89,5,92,5,92,92,136,102,959,300,1259,Top,31.599454,-81.9001101
