State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Total Score,Offers Score
WY,537076,FRONTIER HOME HEALTH AND HOSPICE,4024 LARAMIE STREET,CHEYENNE,82001,3076345970,Local,50,50,50,50,50,50,4,4,89,5,90,4,85,3,80,76,90,37,820,300
WY,537077,ENCOMPASS HOME HEALTH OF WYOMING,"1275 NORTH 15TH STREET, SUITE 121",LARAMIE,82072,3077212827,Local,50,50,50,50,0,50,4,4,89,5,90,3,81,3,83,80,200,31,803,250
WY,537079,COWBOY CARES HOME HEALTH,39814 BUSINESS LOOP 80,LYMAN,82937,3077864357,Local,50,50,50,50,50,50,4,4,88,5,86,4,86,4,83,91,66,29,854,300
WY,537302,ROCKY MOUNTAIN HOME CARE,175 RIVER VIEW DR,GREEN RIVER,82935,3078757976,Local,50,50,50,50,50,50,3,4,90,4,85,2,76,3,81,82,51,24,734,300
WY,537831,BEST HOME HEALTH & HOSPICE LLC,105 YELLOW CREEK ROAD,EVANSTON,82930,3077892899,Official Health Agency,50,50,50,50,50,50,3,3,86,3,82,2,78,3,81,83,64,28,690,300
MT,277011,FLATHEAD CHOICE HOME HEALTH,736 S MAIN ST,KALISPELL,59901,4067516800,Local,50,50,50,50,50,0,3,3,86,3,80,2,78,3,84,79,94,26,687,250
MT,277012,RIVERSTONE HEALTH,2626 FIRST AVE S,BILLINGS,59101,4062473200,Combination Government Voluntary,50,50,50,50,50,50,4,4,89,5,90,2,80,3,85,78,101,31,782,300
MT,277017,FRONTIER HOME HEALTH AND HOSPICE,800 FRONT ST,HELENA,59601,4064434140,Official Health Agency,50,50,50,50,50,50,3,4,87,4,86,2,80,3,83,77,349,33,733,300
MT,277019,HOME OPTIONS HOME HEALTH,711 MAIN ST SW,RONAN,59864,4066767300,Hospital Based Program,50,50,50,50,50,50,3,3,82,3,79,3,81,2,77,71,61,39,670,300
MT,277032,PARTNERS IN HOME CARE INC,2673 PALMER ST SUITE 201,MISSOULA,59808,4067288848,Official Health Agency,50,50,50,50,50,50,4,4,88,4,85,3,81,3,85,82,273,30,781,300
MT,277039,MARCUS DALY MEM HOSP HHA,1200 WESTWOOD DR,HAMILTON,59840,4063636503,Hospital Based Program,50,50,50,50,50,50,4,5,91,5,93,2,78,4,89,86,94,32,837,300
MT,277053,HOME OPTIONS HOME HEALTH,275 CORPORATE DR STE 600,KALISPELL,59901,4067514200,Hospital Based Program,50,50,50,50,50,50,4,4,88,4,85,5,88,3,85,80,272,36,826,300
MT,277058,COMPASSUS HOME HEALTH - BUTTE,3745 HARRISON AVE STE G,BUTTE,59701,4064940039,Official Health Agency,50,50,50,50,50,50,4,5,92,5,87,3,84,3,78,80,96,38,821,300
MT,277060,LIVINGSTON HOME CARE AND HOSPICE,320 ALPENGLOW LANE,LIVINGSTON,59047,4068236430,Hospital Based Program,50,50,50,50,50,50,4,5,92,4,85,2,79,4,86,80,70,36,802,300
MT,277068,COMPASSUS HOME HEALTH - BILLINGS,2110 OVERLAND AVE STE 114,BILLINGS,59102,4066528883,Local,50,50,50,0,50,50,3,2,82,4,84,2,76,2,71,69,104,30,642,250
MT,277072,ST PETER'S HEALTH HOME HEALTH AND HOSPICE,201 S CALIFORNIA,HELENA,59601,4064442244,Hospital Based Program,50,50,50,0,50,50,2,3,86,2,77,2,75,2,74,76,91,33,608,250
MT,277087,MEDALLION MEDICAL CARE,425 1ST AVE N,GREAT FALLS,59401,4064543883,Local,50,50,50,50,50,0,4,4,89,5,88,2,80,3,84,81,106,39,782,250
MT,277090,SPECTRUM HOME HEALTH,2906 10TH AVE S,GREAT FALLS,59405,4064530360,Official Health Agency,50,50,50,50,50,0,4,4,90,5,88,2,80,3,85,81,356,34,784,250
MT,277094,CONSUMER DIRECT CARE NET MT-HOME HEALTH & HOSPICE,100 CONSUMER DIRECT WAY,MISSOULA,59801,4065411800,Official Health Agency,50,50,50,50,50,50,3,3,86,3,83,2,78,3,78,71,61,28,676,300
MT,277097,FIRST CHOICE HOME HEALTH,205 HAGGERTY LN STE 120,BOZEMAN,59715,4065512273,Official Health Agency,50,50,50,50,50,50,4,4,89,4,86,5,88,3,87,82,86,34,832,300
MT,277098,SENIOR INDEPENDENCE OF MONTANA,3940 RIMROCK RD,BILLINGS,59102,4066555800,Official Health Agency,50,50,50,50,50,50,4,5,91,5,90,2,78,4,89,84,138,32,832,300
MN,247001,HENNEPIN HOME HEALTH CARE INC,"8590 EDINBURGH CENTER DRIVE, SUITE 350",BROOKLYN PARK,55443,7634255959,Local,50,50,50,0,0,50,2,2,81,2,77,2,78,2,73,58,155,23,567,200
MN,247008,MVNA,2000 SUMMER ST NE,MINNEAPOLIS,55415,6126174600,Visiting Nurse Association,50,50,50,50,50,50,3,3,85,2,80,3,82,2,75,77,127,14,659,300
MN,247011,ACCRA HOME HEALTH INC,"129 HEDIN AVENUE, SUITE 101",RED WING,55066,6513881010,Official Health Agency,50,50,50,50,0,50,3,2,83,3,79,3,83,2,74,74,103,31,653,250
MN,247024,GOOD SAMARITAN HOME CARE,2885 COUNTRY DRVIE STE 165,LITTLE CANADA,55117,6514887680,Official Health Agency,50,50,50,50,50,50,4,4,87,4,84,4,87,3,79,73,161,32,790,300
MN,247040,ECUMEN HOME CARE - LAKESHORE,4000 LONDON ROAD,DULUTH,55804,2186257848,Local,50,50,50,50,0,50,4,4,90,5,88,3,83,3,85,90,80,25,816,250
MN,247049,PIPESTONE CO HOME HLTH AGENCY,916  4TH AVENUE SW,PIPESTONE,56164,5078256024,Hospital Based Program,50,50,50,50,0,50,4,4,86,4,84,5,89,4,88,86,73,52,853,250
MN,247071,CARING HANDS HOME CARE,113 MINNESOTA  AVENUE WEST,SEBEKA,56477,2188375572,Local,50,50,50,0,0,50,4,4,90,4,88,3,84,3,86,76,68,40,784,200
MN,247078,FAIRVIEW HOME CARE AND HOSPICE,2450  26TH AVENUE SOUTH,MINNEAPOLIS,55406,6127212491,Local,50,50,50,50,50,50,4,4,89,4,85,3,81,3,84,78,1210,32,777,300
MN,247083,CLEARWATER CO NSG SERVICE,212 MAIN AVENUE NORTH,BAGLEY,56621,2186946581,Official Health Agency,50,50,50,50,0,50,4,4,86,3,80,5,89,3,86,78,57,60,799,250
MN,247087,PRESBYTERIAN HOMES HOME CARE,2845 HAMLINE AVENUE NORTH,ROSEVILLE,55113,6516316203,Official Health Agency,50,50,50,50,0,50,2,2,80,2,77,2,75,2,76,67,321,33,575,250
MN,247093,INTREPID USA HEALTHCARE SERVICES,2277 HIGHWAY 36 WEST STE 101,ROSEVILLE,55113,6516387800,Local,50,50,50,50,50,50,3,4,84,4,85,2,76,3,83,70,79,28,718,300
MN,247098,ST LUKES HOME CARE,220 NORTH SIXTH AVENUE EAST,DULUTH,55805,2182496111,Hospital Based Program,50,50,50,50,50,50,4,4,87,5,86,5,88,3,85,80,325,42,846,300
MN,247104,INTERIM HEALTHCARE OF THE TWIN CITIES,2680 ARTHUR STREET,ROSEVILLE,55113,6519173634,Official Health Agency,50,50,50,50,50,50,2,2,82,2,79,1,66,2,75,67,476,22,549,300
MN,247113,ALL HOMECARING,4200 CENTRAL AVENUE NE,COLUMBIA HEIGHTS,55421,6123781474,Official Health Agency,50,50,0,0,0,50,4,3,88,4,86,5,88,3,88,71,90,25,801,150
MN,247117,CENTRACARE HEALTH HOME CARE,2035 15TH STREET NORTH  SUITE 110,SAINT CLOUD,56303,3202599375,Hospital Based Program,50,50,50,50,50,50,5,4,90,5,88,5,88,4,87,83,590,37,896,300
MN,247120,GRANITE FALLS MUN HOSP & MANOR,166 HIGHWAY 212,GRANITE FALLS,56241,3205646226,Local,50,50,50,50,0,50,4,4,85,5,85,3,83,4,89,87,51,38,829,250
MN,247124,LAKEWOOD HEALTH SYSTEM HOME CARE & HOSPICE,401 EAST PRAIRIE AVENUE,STAPLES,56479,2188948080,Local,50,50,50,50,50,50,3,3,85,3,81,3,82,3,80,81,128,33,709,300
MN,247126,KANABEC COUNTY COMMUNITY HEALTH,905 EAST FOREST AVENUE SUITE 127,MORA,55051,3206796330,Official Health Agency,50,50,50,50,0,50,4,5,90,5,88,3,84,4,88,86,61,49,856,250
MN,247127,SPECTRUM COMMUNITY HEALTH INC,6205 CROSSMAN LANE,INVER GROVE HEIGHTS,55076,6514510569,Official Health Agency,50,50,50,50,0,50,4,4,87,4,83,3,81,3,80,70,156,33,761,250
MN,247137,COUNTRY MANOR EXTENDED SERVICES,520 FIRST STREET NORTHEAST,SARTELL,56377,3202533343,Official Health Agency,50,50,50,50,0,50,3,3,85,2,80,2,80,3,80,71,86,40,656,250
MN,247145,KINDRED AT HOME,1970 OAKCREST AVENUE,ROSEVILLE,55113,6516366330,Official Health Agency,50,50,50,50,50,50,4,5,91,5,88,3,82,3,88,87,324,29,836,300
MN,247151,PARK NICOLLET METHODIST HOSPITAL CARE SVCS,6500 EXCELSIOR BOULEVARD,SAINT LOUIS PARK,55426,9529936087,Official Health Agency,50,50,50,50,50,50,4,4,90,5,87,3,83,3,84,80,486,40,804,300
MN,247154,INTREPID USA HEALTHCARE SERVICES,7300 METRO BLVD STE 625,EDINA,55439,9525135400,Local,50,50,50,50,50,50,3,4,87,3,81,2,73,3,80,75,138,28,696,300
MN,247161,COMFORT HEALTH,2746 SUPERIOR DR NW SUITE 200,ROCHESTER,55901,5072812332,Official Health Agency,50,50,50,50,0,50,5,5,91,5,92,5,89,3,85,79,54,29,896,250
MN,247166,HEALTHEAST HOME CARE,1655 BEAM AVENUE,MAPLEWOOD,55109,6512322800,Hospital Based Program,50,50,50,50,50,50,3,3,85,3,84,3,82,3,80,74,740,31,705,300
MN,247168,RIDGEVIEW HOME CARE SERVICES,501 SOUTH MAPLE STREET STE 1,WACONIA,55387,9524426030,Hospital Based Program,50,50,50,50,50,50,4,4,88,4,85,5,91,3,82,80,377,41,826,300
MN,247171,HOMEHEALTH PARTNERSHIP,500 HEARTWOOD DRIVE,CROSBY,56441,2185462311,Hospital Based Program,50,50,50,50,50,50,5,5,88,5,90,5,88,4,85,89,101,45,920,300
MN,247177,INTEGRATED HOME CARE,"475 ETNA STREET, SUITE 3",SAINT PAUL,55106,6514154663,Local,50,50,50,50,50,50,3,4,87,3,83,2,77,2,76,74,463,34,677,300
MN,247180,STANLEY JONES AND ASSOCIATES,"1800 HIGH POINTE LANE NW, SUITE 250",ROCHESTER,55901,5072880064,Official Health Agency,50,50,50,50,0,50,3,4,90,4,81,2,78,3,82,81,73,38,732,250
MN,247183,HEALTHLINE HOMECARE,MESABI MALL  1101 EAST 37TH ST,HIBBING,55746,2182626982,Hospital Based Program,50,50,50,50,50,50,5,5,93,5,90,5,89,4,90,87,159,33,929,300
MN,247185,RECOVER HEALTH,60 10TH AVENUE SOUTH SUITE 305,WAITE PARK,56387,3202597045,Local,50,50,50,50,0,50,3,2,80,3,81,4,85,2,73,68,147,26,667,250
MN,247188,SANFORD WORTHINGTON  HOME CARE AGENCY,1018 6TH AVENUE,WORTHINGTON,56187,5073723139,Hospital Based Program,50,50,50,50,0,50,4,4,89,5,88,5,89,3,84,88,50,40,858,250
MN,247196,L B HOME CARE,805 EAST CHANNING,FERGUS FALLS,56537,2189981400,Local,50,50,50,50,50,50,4,5,90,4,86,5,89,3,89,84,99,38,858,300
MN,247212,GLACIAL RIDGE HOME CARE,219 FIRST STREET SOUTHEAST,GLENWOOD,56334,3206342221,Hospital Based Program,50,50,50,50,50,50,5,5,92,5,90,4,85,4,89,86,103,39,902,300
MN,247213,CHI HEALTH AT HOME,1110 HIGHWAY 75 NORTH SUITE A,BRECKENRIDGE,56520,2186432275,Local,50,50,50,50,50,50,4,5,90,5,88,4,87,3,85,77,89,35,847,300
MN,247215,SANFORD BEMIDJI HOME CARE AND HOSPICE,3201 PINE RIDGE AVE NW STE A,BEMIDJI,56601,2183335665,Hospital Based Program,50,50,50,50,50,50,4,4,90,4,87,5,90,3,85,80,203,33,832,300
MN,247217,ECUMEN HOME CARE AND HOSPICE - LITCHFIELD,218 NORTH HOLCOMBE AVENUE,LITCHFIELD,55355,3206937367,Official Health Agency,50,50,50,50,0,50,3,5,90,3,83,1,70,3,82,75,87,33,700,250
MN,247218,RECOVER HEALTH,2900 EAST BELTLINE SUITE 1,HIBBING,55746,2182625887,Official Health Agency,50,50,50,50,0,50,5,5,93,5,92,4,87,4,86,85,64,27,903,250
MN,247224,ECUMEN HOME CARE-PATHSTONE,718 MOUND AVENUE,MANKATO,56001,5073854210,Local,50,50,50,50,0,50,3,4,88,2,80,2,77,3,82,76,122,32,683,250
MN,247230,GOOD SHEPHERD HOME HEALTH CARE,1115 FOURTH AVENUE NORTH,SAUK RAPIDS,56379,3202593470,Skilled Nursing Facility Based Program,50,50,50,50,0,50,4,5,89,4,85,5,91,3,88,72,59,43,845,250
MN,247241,KINDRED AT HOME,952 EAST SUPERIOR STREET SUITE 104,DULUTH,55802,8006772244,Local,50,50,50,50,50,50,4,5,91,5,88,4,85,3,82,75,165,32,841,300
MN,247250,RECOVER HEALTH,5900 GREEN OAK DRIVE SUITE 200,MINNETONKA,55343,9529269808,Official Health Agency,50,50,50,50,50,50,2,2,80,2,76,2,78,2,77,60,216,25,571,300
MN,247263,GUARDIAN ANGELS ELIM HOME CARE,403 MAIN STREET,ELK RIVER,55330,7632410654,Skilled Nursing Facility Based Program,50,50,50,50,50,50,4,4,88,3,82,4,85,3,82,79,234,36,776,300
MN,247266,SHETEK HOME CARE,251 FIFTH STREET EAST,TRACY,56175,5076298454,Local,50,50,50,0,0,50,3,4,87,4,85,2,75,3,87,79,52,44,733,200
MN,247269,GOOD NEIGHBOR HHC OF BRAINERD,14387 EDGEWOOD DRIVE,BAXTER,56425,2188299238,Local,50,50,50,0,0,50,3,4,90,4,87,2,73,3,83,85,75,39,738,200
MN,247279,CHI HEALTH AT HOME,815 SOUTHEAST SECOND STREET,LITTLE FALLS,56345,3206315575,Hospital Based Program,50,50,50,50,50,50,5,5,90,5,88,5,93,3,88,85,78,43,904,300
MN,247286,GRAND ITASCA CLINIC & HOSP HOMECARE,111 SE 3RD STREET,GRAND RAPIDS,55744,2189991047,Hospital Based Program,50,50,50,50,50,50,4,5,90,4,85,3,81,3,87,77,85,28,800,300
MN,247292,MARY T HOME HEALTH,299 COON RAPIDS BLVD SUITE 105,COON RAPIDS,55433,7638625479,Official Health Agency,50,50,50,50,0,50,4,4,88,4,87,5,88,3,84,75,170,39,822,250
MN,248000,CAREMATE HOME HEALTH CARE INC,2236 MARSHALL AVENUE,SAINT PAUL,55104,6516590208,Local,50,50,50,0,0,50,2,3,85,2,79,2,79,2,73,67,63,18,603,200
MN,248008,LAKEVIEW HOMECARE,1715 TOWER DRIVE WEST SUITE 330,STILLWATER,55082,6514303320,Hospital Based Program,50,50,50,50,50,50,5,4,89,5,87,5,88,4,85,86,283,46,895,300
MN,248009,PRESTON GOOD SAMARITAN SOCIETY HOME CARE,200 ST PAUL STREET,PRESTON,55965,5077652700,Local,50,50,50,50,0,50,3,3,85,3,83,2,80,4,89,77,137,39,714,250
MN,248027,HORIZON HEALTH HOMECARE,26814 143RD STREET  PO BOX 220,PIERZ,56364,3204686451,Official Health Agency,50,50,50,50,50,50,3,4,87,3,85,3,83,3,80,70,56,45,725,300
MN,248028,ST ELIZABETHS MEDICAL CENTER,1200 GRANT BLVD WEST,WABASHA,55981,6515655577,Hospital Based Program,50,50,50,0,0,50,3,4,87,3,82,4,86,2,81,81,82,38,737,200
MN,248033,RIVER VALLEY HOME CARE INC,916 EIGHTH STREET,FARMINGTON,55024,6514604201,Official Health Agency,50,50,50,0,0,50,3,3,85,3,84,3,84,3,79,71,88,23,703,200
MN,248037,HOME HEALTH CARE INC,800 BOONE AVENUE NORTH SUITE 200,GOLDEN VALLEY,55427,7634178888,Official Health Agency,50,50,50,50,50,50,2,3,83,2,75,1,72,2,71,68,222,17,569,300
MN,248052,ESSENTIA HEALTH HOME CARE WEST,114 FRAZEE STREET EAST,DETROIT LAKES,56501,2188470808,Official Health Agency,50,50,50,50,50,50,4,5,92,4,86,4,85,4,86,85,365,34,854,300
MN,248054,PROFESSIONAL RESOURCE NETWORK HHC,9531 WEST 78TH STREET  STE 2,EDEN PRAIRIE,55344,9528588807,Local,50,50,50,50,0,50,2,2,83,4,83,1,70,2,70,63,55,20,589,250
MN,248056,ADARA HOME HEALTH INC,25 1ST AVENUE NE  STE 100,BUFFALO,55313,5073458591,Local,50,50,50,50,50,50,2,2,81,3,81,2,79,2,74,70,463,30,605,300
MN,248060,PERHAM LIVING HOME CARE,735 3RD STREET SOUTHWEST,PERHAM,56573,2183471880,Hospital Based Program,50,50,50,50,50,50,4,4,88,4,85,5,93,3,87,84,118,42,837,300
MN,248061,GOOD SAM SOCIETY HOME CARE OF SW MN,866 FIRST AVENUE NORTH,WINDOM,56101,5078310734,Local,50,50,50,50,0,50,5,4,87,5,88,5,89,4,89,90,57,32,903,250
MN,248068,RECOVER HEALTH,19 NE 3RD STREET,GRAND RAPIDS,55744,2183260004,Official Health Agency,50,50,50,0,0,50,3,3,85,3,83,2,79,2,77,69,214,32,653,200
MN,248076,EVERYTIME HOME CARE,2257 LOUISIANA AVENUE SOUTH,SAINT LOUIS PARK,55426,9528480935,Local,50,50,50,50,0,50,2,2,81,2,79,2,80,2,79,72,50,16,591,250
MN,248077,FAMILY CARE SERVICES INC,2500 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,55404,6123400733,Local,50,50,50,50,50,50,2,1,78,2,80,2,77,2,74,69,64,23,558,300
MN,248078,INTERNATIONAL QUALITY HOMECARE,3261 19TH ST NORTHWEST,ROCHESTER,55901,5072528117,Official Health Agency,50,50,50,0,50,50,2,2,81,2,80,3,84,1,70,60,82,30,575,250
MN,248080,DIVINE HOME CARE INC,322 SOUTHWEST 2ND STREET,WILLMAR,56201,3202319757,Official Health Agency,50,50,50,50,50,50,4,4,87,4,87,4,85,3,80,74,225,38,793,300
MN,248081,REGENCY HOME HEALTHCARE SRVCS,10467 93RD AVENUE NORTH,MAPLE GROVE,55369,6514884655,Official Health Agency,50,50,0,0,0,50,2,3,84,2,78,1,72,2,77,70,81,36,581,150
MN,248082,SPOT REHABILITATION INC,"2835 WEST SAINT GERMAIN ST, SUITE 300",SAINT CLOUD,56301,3202594151,Local,50,50,50,50,50,50,3,4,87,4,84,2,77,3,83,71,78,30,722,300
MN,248084,GOOD SAMARITAN SOCIETY HOME CARE ST PETER,600 SOUTH FIFTH STREET,SAINT PETER,56082,5079310949,Local,50,50,50,50,0,50,4,4,89,5,86,3,81,3,82,79,125,31,797,250
MN,248086,GOOD SAMARITAN SOCIETY - HOME CARE,1415 LILAC DRIVE NORTH 210,GOLDEN VALLEY,55422,7635469020,Local,50,50,50,50,50,50,3,2,83,3,82,4,85,2,77,71,228,30,678,300
MN,248089,SUMMIT HOME HEALTH CARE INC,800 BOONE AVENUE NORTH SUITE 175,GOLDEN VALLEY,55422,7634178888,Local,50,50,50,50,50,50,2,2,85,1,75,1,62,2,75,64,122,11,521,300
MN,248091,ALLINA HEALTH HOME HEALTH,"1055 WESTGATE DRIVE, SUITE 100",SAINT PAUL,55114,6516359173,Local,50,50,50,50,50,50,4,4,89,4,86,3,84,3,84,79,1224,35,782,300
MN,248092,PATHWAYS TO ACHIEVEMENT,114 SOUTH 20TH AVENUE WEST SUITE A,DULUTH,55806,2187214732,Local,50,50,50,50,0,50,4,4,87,4,87,3,81,3,88,75,98,35,778,250
MN,248093,GOOD SAMARITAN SOCIETY HOME CARE & HOSPICE,24090 SMILEY ROAD SUITE 200,NISSWA,56468,2189639452,Local,50,50,50,50,0,50,3,3,82,4,84,2,73,2,72,74,99,35,665,250
MN,248096,KNUTE NELSON HOME CARE,2715 HWY 29TH SOUTH SUITE 103,ALEXANDRIA,56308,3207591273,Skilled Nursing Facility Based Program,50,50,50,50,0,50,3,4,88,4,85,2,76,3,84,80,341,38,733,250
MN,248098,RECOVER HEALTH,300 11TH AVENUE NW  SUITE 201,ROCHESTER,55901,5072822246,Local,50,50,50,50,0,50,3,3,86,2,79,4,86,2,77,72,204,31,680,250
MN,248105,BROOKDALE HOME HEALTH MINNESOTA,3300 EDINBOROUGH WAY SUITE 470,EDINA,55435,9529331362,Local,50,50,50,50,50,50,2,2,82,2,81,1,65,2,75,65,122,16,548,300
MN,248118,LIFESPRK HOME HEALTH,5320 W 23RD ST SUITE 130,SAINT LOUIS PARK,55416,9523453310,Local,50,50,50,50,50,50,3,3,84,3,82,3,82,3,79,72,467,35,699,300
MN,248131,SENIOR HOME HEALTH CARE LLC,7800 METRO PARKWAY SUITE 100,BLOOMINGTON,55425,6122988180,Local,50,50,50,50,50,50,2,2,80,3,82,2,77,2,76,65,245,34,600,300
MN,248137,"ADVANCED MEDICAL HOME CARE, LLC",2555 COUNTY ROAD E EAST SUITE 101,WHITE BEAR LAKE,55110,6122676154,Official Health Agency,50,50,50,50,50,50,3,3,85,3,82,1,71,3,78,72,168,27,648,300
MN,248144,AVERA AT HOME MARSHALL,1104 EAST COLLEGE DRIVE,MARSHALL,56258,5075377070,Local,50,50,50,50,50,50,4,4,89,4,85,4,86,3,82,80,145,47,802,300
OR,387003,AMEDISYS HOME HEALTH CARE,"12021 NE GLENN WIDING DR, BLDG G",PORTLAND,97220,5032535155,Local,50,50,50,50,50,50,3,3,87,4,85,2,78,3,80,72,320,25,702,300
OR,387007,KAISER PERMANENTE HOME HEALTH AGENCY,"2701 NW VAUGHN STREET, SUITE 140",PORTLAND,97210,5034995200,Official Health Agency,50,50,50,50,50,50,4,4,89,4,85,4,86,3,83,78,962,38,801,300
OR,387016,PROVIDENCE MEDFORD HOME CARE,2033 COMMERCE DRIVE,MEDFORD,97501,5417326500,Local,50,50,50,50,50,50,4,5,90,4,86,4,86,4,88,82,334,27,852,300
OR,387023,SACRED HEART HOME HEALTH,"677 E 12TH AVE, SUITE N200",EUGENE,97401,4582087300,Hospital Based Program,50,50,50,50,50,50,4,4,90,4,86,3,84,4,87,82,478,28,809,300
OR,387026,ST CHARLES HOME HEALTH SERVICES,63031 NE LAYTON AVE,BEND,97701,5417067796,Hospital Based Program,50,50,50,50,50,50,4,4,89,4,87,4,85,3,85,83,339,31,809,300
OR,387033,MERCY MEDICAL CENTER HOME HEALTH AGENCY,2675 NW EDENBOWER BLVD,ROSEBURG,97471,5416772384,Hospital Based Program,50,50,50,50,50,50,4,5,91,4,87,4,86,4,91,81,151,25,856,300
OR,387039,BAY AREA HOSPITAL HOME HEALTH AGENCY,3950 SHERMAN AVENUE,NORTH BEND,97459,5412695454,Hospital Based Program,50,50,50,50,50,50,5,5,92,5,88,5,91,4,89,91,127,31,931,300
OR,387041,VISITING HEALTH SERVICES,1730 EAST 12TH STREET,THE DALLES,97058,5412967280,Hospital Based Program,50,50,50,50,50,50,4,4,88,4,87,5,88,3,80,78,320,32,821,300
OR,387047,ADVENTIST HEALTH HOME CARE SERVICES,5835 NE 122ND AVENUE STE 155,PORTLAND,97230,5032516301,Official Health Agency,50,50,50,50,50,50,3,3,85,3,81,2,79,2,79,70,305,23,654,300
OR,387048,PROVIDENCE HOME HEALTH,"6410 NE HALSEY STREET, SUITE 200",PORTLAND,97213,5032154646,Local,50,50,50,50,50,50,4,4,88,4,85,3,81,3,85,81,2155,26,780,300
OR,387057,CASCADE HEALTH SOLUTIONS,"2650 SUZANNE WAY, SUITE 200",EUGENE,97408,5412283050,Local,50,50,50,50,50,50,3,4,87,3,82,3,83,3,82,75,205,25,729,300
OR,387062,TUALITY HOME HEALTH,1809 MAPLE STREET,FOREST GROVE,97116,5033572737,Hospital Based Program,50,50,50,50,50,50,4,5,91,4,87,4,87,4,84,87,161,30,856,300
OR,387067,PARTNERS HOME HEALTH,2075 NE WYATT COURT,BEND,97701,5413825882,Local,50,50,50,50,50,50,4,5,91,4,87,3,82,4,87,87,302,27,834,300
OR,387074,PROVIDENCE BENEDICTINE HOME HEALTH,570 SOUTH MAIN STREET,MOUNT ANGEL,97362,5038459226,Local,50,50,50,50,50,50,3,3,85,3,81,2,78,2,75,73,366,26,652,300
