State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Total Score,Offers Score
AL,17151,KINDRED AT HOME,1328 GREENBRIER-DEAR ROAD,ANNISTON,36207,2568357101,Local,50,50,50,50,50,50,5,5,92,5,91,5,90,5,92,86,223,32,951,300
AL,17152,KINDRED AT HOME,1025 WEST FORT WILLIAMS ST,SYLACAUGA,35150,2562494363,Local,50,50,50,50,50,50,5,5,94,5,93,5,89,4,91,93,128,36,940,300
AL,17090,KINDRED AT HOME,114 ACADEMY AVENUE,BUTLER,36904,2518432808,Local,50,50,0,0,0,50,5,5,92,5,94,5,91,4,92,90,168,30,939,150
AL,17078,AMEDISYS HOME HEALTH OF REFORM,315 1ST STREET SOUTH,REFORM,35481,8002777445,Local,50,50,50,50,50,50,5,5,94,5,91,5,91,4,91,89,151,28,936,300
AL,17134,LHC HOMECARE OF SOUTH ALABAMA,"1802 US HIGHWAY 84 WEST, SUITE A",OPP,36467,3344932087,Local,50,50,50,50,50,50,5,5,93,5,93,5,90,4,90,90,384,35,936,300
AL,17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,35128,2058847202,Local,50,50,50,50,50,50,5,5,94,5,91,5,89,4,93,89,409,32,936,300
AL,17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,36251,2563540077,Local,50,50,50,0,50,50,5,5,93,5,91,5,90,4,92,90,226,39,936,250
AL,17147,PRIME HOME HEALTH OF LEE COUNTY,2125 EXECUTIVE PARK DRIVE,OPELIKA,36801,3347457966,Local,50,50,50,50,50,50,5,5,94,5,91,5,93,4,87,89,108,31,934,300
AL,17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,36744,3346243066,Hospital Based Program,50,50,50,50,0,50,5,5,93,5,91,5,92,4,92,86,134,53,934,250
AL,17013,KINDRED AT HOME,1239 RUCKER BLVD,ENTERPRISE,36330,3343470234,Official Health Agency,50,50,50,0,0,50,5,5,91,5,91,5,90,4,90,92,266,35,934,200
AL,17071,KINDRED AT HOME,20 ALMON DRIVE SUITE C,MOULTON,35650,2569742741,Local,50,50,50,50,50,50,5,5,93,5,91,5,90,4,90,89,332,34,933,300
AL,17085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,35150,2562080087,Local,50,50,50,50,50,50,5,5,94,5,92,5,88,4,91,88,162,29,933,300
AL,17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,36081,3344034520,Local,50,50,50,50,50,50,5,5,94,5,89,5,90,4,91,89,160,27,933,300
AL,17168,KINDRED AT HOME,824 WESTERN AMERICA DRIVE,MOBILE,36609,2513160917,Local,50,50,50,50,50,50,5,5,92,5,91,5,91,4,92,87,339,29,933,300
AL,17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,35976,2568785811,Local,50,50,50,50,50,50,5,5,92,5,90,5,88,4,92,90,632,35,932,300
AL,17170,KINDRED AT HOME,1458 JONES DAIRY ROAD SUITE 100,JASPER,35501,2052215234,Local,50,50,50,50,50,50,5,5,93,5,91,5,89,4,91,87,246,33,931,300
AL,17320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,36701,3348752550,Local,50,50,50,50,50,50,5,5,91,5,91,5,90,4,92,87,379,29,931,300
AL,17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,8007636382,Official Health Agency,50,50,50,50,50,50,5,5,92,5,90,5,90,4,90,87,340,36,929,300
AL,17326,ALACARE HOME HEALTH & HOSPICE,"1690 BELTLINE ROAD, STE B",DECATUR,35601,2563555746,Local,50,50,50,50,50,50,5,5,91,5,90,5,90,4,89,89,389,33,929,300
AL,17327,AMEDISYS HOME HEALTH OF WALKER,100 HIGHWAY 78 WEST,JASPER,35501,2052952434,Local,50,50,50,50,50,50,5,5,94,5,91,5,90,4,88,86,153,31,929,300
AL,17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,2565394457,Local,50,50,50,50,50,50,5,5,92,5,90,5,88,4,90,87,104,45,927,300
AL,17092,ENCOMPASS HEALTH HOME HEALTH,194 WILLIAM E HILL DRIVE,CARROLLTON,35447,2053678111,Local,50,50,0,50,0,50,5,5,93,5,94,5,88,4,89,83,66,32,927,200
AL,17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,2518663261,Official Health Agency,50,50,50,50,50,50,5,5,92,5,90,5,91,4,88,85,137,27,926,300
AL,17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,35216,2058242680,Local,50,50,50,50,50,50,5,5,91,5,90,5,89,4,90,85,303,35,925,300
AL,17142,"ATMORE COMMUNITY HOME CARE, LLC",810 E CRAIG STREET,ATMORE,36502,2513686286,Local,50,50,0,0,0,50,5,5,93,5,90,5,92,4,90,80,101,24,925,150
AL,17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,3343474800,Local,50,50,50,50,50,50,5,5,92,5,89,5,91,4,87,85,197,33,924,300
AL,17055,KINDRED AT HOME,1988 FAIRVIEW AVENUE,PRATTVILLE,36066,3343619806,Local,50,50,50,50,50,50,5,5,93,5,89,5,88,4,87,87,351,30,924,300
AL,17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,35968,2565242411,Hospital Based Program,50,50,50,50,50,50,5,5,92,5,88,5,89,4,88,87,106,28,924,300
AL,17094,CHEROKEE HOME HEALTH,"104C NORTHWOOD DRIVE, STE A-1",CENTRE,35960,2569271144,Hospital Based Program,50,50,50,0,50,50,5,5,93,5,91,5,88,4,88,84,196,33,924,250
AL,17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,36609,2513800492,Local,50,50,50,50,50,50,5,5,92,5,88,5,90,4,90,82,320,25,922,300
AL,17052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,36535,2519433002,Local,50,50,50,50,50,50,5,5,91,5,89,5,88,4,87,87,261,39,922,300
AL,17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,35611,2562339533,Local,50,50,50,50,50,50,5,5,92,5,90,5,90,4,86,84,275,29,922,300
AL,17155,ALACARE HOME HEALTH & HOSPICE (MOBILE),6333 COTTAGE HILL ROAD,MOBILE,36609,2513410707,Local,50,50,50,50,50,50,5,5,92,5,90,5,89,4,86,84,90,28,921,300
AL,17171,KINDRED AT HOME,"1015 1ST STREET, SW, SUITE A",CULLMAN,35055,2567392992,Local,50,50,50,50,50,50,5,5,91,5,88,5,89,4,88,85,207,31,921,300
AL,17305,AMEDISYS HOME HEALTH OF ANNISTON,"171 TOWN CENTER DR, SUITE MPS-4",ANNISTON,36205,2568202503,Local,50,50,50,50,50,50,5,5,91,5,88,5,88,4,89,83,362,34,919,300
AL,17130,INFIRMARY HOMECARE,800 COLLEGE AVENUE,JACKSON,36545,2512626477,Local,50,50,0,0,50,50,5,5,94,5,94,5,91,3,90,89,127,32,918,200
AL,17328,AMEDISYS HOME HEALTH OF BREWTON,2554 DOUGLAS AVENUE,BREWTON,36426,2518091717,Local,50,50,50,50,0,50,5,5,92,5,88,5,89,4,87,81,151,28,917,250
AL,17167,KINDRED AT HOME,614 MARTIN ST N,PELL CITY,35125,2053388440,Local,50,50,50,50,50,50,5,5,95,5,92,4,87,4,91,89,92,27,914,300
AL,17121,KINDRED AT HOME,1309 ANTIOCH ROAD,ANDALUSIA,36420,3342222172,Local,50,50,50,50,0,50,5,5,94,5,92,4,85,4,92,90,211,35,913,250
AL,17116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,36092,3345677710,Hospital Based Program,50,50,50,50,0,50,5,5,94,5,91,4,87,4,92,88,249,47,912,250
AL,17307,KINDRED AT HOME,"5009 RIVER CHASE DRIVE, BLDG 100, SUITE D",PHENIX CITY,36867,3342976900,Local,50,50,50,50,50,50,5,5,92,5,90,4,87,4,90,89,188,33,908,300
AL,17018,KINDRED AT HOME,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,2564421138,Local,50,50,50,50,50,50,5,5,93,5,90,4,87,4,88,89,367,31,907,300
AL,17058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,2516210882,Local,50,50,50,50,50,50,5,5,91,4,89,5,90,4,89,87,339,35,906,300
AL,17178,"PROHEALTH OF NORTHEAST ALABAMA, LLC","1496 CHESTNUT BYP, UNIT D",CENTRE,35960,2053833538,Local,50,50,50,50,50,50,5,5,91,5,90,5,89,3,90,86,174,33,906,300
AL,17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1912 AL HIGHWAY 157,CULLMAN,35058,2567372831,Hospital Based Program,50,50,50,0,50,50,5,5,93,5,91,4,85,4,87,90,150,35,906,250
AL,17165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,35630,2567661817,Local,50,50,50,50,50,50,5,5,92,5,90,4,87,4,90,86,296,29,905,300
AL,17107,SUNCREST HOME HEALTH,"222-224 7TH STREET SOUTH, SUITE 224",CLANTON,35045,2052804663,Local,50,50,50,50,50,50,5,4,90,5,89,5,90,4,88,86,355,32,903,300
AL,17143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,36426,2518675054,Local,50,50,50,0,50,50,5,5,92,5,90,5,91,3,89,81,158,32,903,250
AL,17160,ENCOMPASS HEALTH HOME HEALTH,207 FOB JAMES DRIVE,VALLEY,36854,3347686225,Local,50,50,50,50,50,50,5,5,91,4,88,5,89,4,86,83,143,26,897,300
AL,17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,36830,3348263131,Local,50,50,50,50,50,50,5,5,91,5,88,5,89,3,85,83,360,30,896,300
AL,17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,3347561950,Local,50,50,50,50,50,50,5,5,91,5,90,5,89,3,85,79,204,30,894,300
AL,17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,3343822042,Local,50,50,50,0,0,50,4,4,91,5,91,4,86,4,89,90,84,27,867,200
AL,17086,ALABAMA HOMECARE,"15 CLAIBORNE STREET, SUITE C",CAMDEN,36726,3346829050,Local,50,50,50,50,50,50,4,3,87,5,90,5,92,4,94,82,104,29,865,300
AL,17323,MONROE CO HOSP PROGRESSIVE HOM,DR WOODROW EDDINS MED DR-P.O. 886,MONROEVILLE,36461,2517437328,Official Health Agency,50,50,50,0,0,50,4,4,90,5,90,5,90,3,88,86,180,46,864,200
AL,17104,HIGHLANDS HOME HEALTH,901 HEROES DRIVE,SCOTTSBORO,35768,2562594840,Hospital Based Program,50,50,50,50,0,50,4,5,92,4,86,5,90,3,87,87,154,47,862,250
AL,17014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,35031,8664864919,Local,50,50,50,50,50,50,4,4,90,4,89,5,88,4,88,85,145,29,860,300
AL,17080,DCH HOME HEALTH CARE AGENCY,1110 DR EDWARD HILLARD DRIVE,TUSCALOOSA,35401,2057597010,Hospital Based Program,50,50,50,50,50,50,4,5,91,4,88,4,86,4,90,85,188,23,860,300
AL,17324,ALACARE HOME HEALTH AND HOSPICE,824 HIGHWAY 231 SOUTH,TROY,36081,3345669238,Local,50,50,50,50,50,50,4,4,90,5,90,4,87,4,87,85,305,29,859,300
AL,17153,COMFORT CARE HOME HEALTH OF ALABASTER,"1140 1ST STREET N, STE 200",ALABASTER,35007,2056850421,Local,50,50,50,50,50,50,4,5,92,4,86,4,87,4,88,85,765,47,858,300
AL,17053,ENCOMPASS HEALTH HOME HEALTH,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,3347935758,Local,50,50,50,50,50,50,4,4,90,5,89,4,86,4,88,84,336,31,857,300
AL,17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,3342890701,Combination Government Voluntary,50,50,50,50,0,50,4,5,94,5,93,3,84,4,89,77,57,29,857,250
AL,17115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,35901,2565382273,Local,50,50,50,50,0,50,4,4,90,5,89,4,87,4,89,81,201,30,856,250
AL,17024,SOUTHEAST ALABAMA HOMECARE,"1435 ROSS CLARK CIRCLE, SUITE 2",DOTHAN,36301,3347940591,Local,50,50,50,50,50,50,4,4,90,4,87,5,89,4,87,82,429,30,855,300
AL,17158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,35967,2568448303,Local,50,50,50,50,50,50,4,4,90,5,88,4,87,4,86,84,228,28,855,300
AL,17172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",1910 CHEROKEE AVENUE SW,CULLMAN,35055,2568414443,Local,50,50,50,50,50,50,4,5,93,4,88,4,87,3,89,87,315,43,844,300
AL,17026,KINDRED AT HOME,"2100 RIVERCHASE CTR, STE 450",HOOVER,35244,2057397800,Local,50,50,50,50,50,50,4,4,91,4,89,4,87,4,89,84,291,26,840,300
AL,17125,KELLER HOME CARE,116 4TH AVENUE SE,RED BAY,35582,2563568160,Local,50,50,50,50,50,50,4,4,90,4,88,5,89,3,86,84,378,34,837,300
AL,17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,35242,2053132800,Local,50,50,50,50,50,50,4,5,91,4,88,4,85,3,88,85,428,28,837,300
AL,17182,FIVE POINTS HOME HEALTH,"100 CONCOURSE PARKWAY, SUITE 120",HOOVER,35244,2052353232,Local,50,50,50,50,50,50,4,4,90,5,90,3,82,4,90,85,81,24,837,300
AL,17159,AMEDISYS HOME HEALTH,2560 COUNTY ROAD 112,DOTHAN,36303,8662050818,Local,50,50,50,50,50,50,4,4,91,4,88,5,88,3,86,83,306,26,836,300
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Local,50,50,50,50,50,50,4,4,91,4,88,5,89,3,86,81,165,29,835,300
AL,17166,KINDRED AT HOME,118 6TH STREET SOUTH,CLANTON,35045,2057559926,Local,50,50,50,50,50,50,4,5,91,5,89,3,83,3,87,84,159,34,834,300
AL,17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,2569742200,Local,50,50,50,50,50,50,4,5,91,4,86,4,87,3,83,82,133,23,829,300
AL,17163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,36460,8663340260,Local,50,50,50,50,50,50,4,4,89,5,87,4,86,3,85,82,143,29,829,300
AL,17117,LAKE MARTIN HOME HEALTH,729 EAST SOUTH STREET,DADEVILLE,36853,2568257050,Hospital Based Program,50,50,50,50,0,50,4,4,91,4,88,4,87,3,85,88,148,40,819,250
AL,17027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,2563504182,Local,50,50,50,50,50,50,4,4,89,4,88,4,87,3,88,81,564,31,813,300
AL,17084,KINDRED AT HOME,200 CENTRAL PARK PLACE,SELMA,36701,3348726637,Local,50,50,50,50,50,50,4,4,90,5,92,3,84,3,83,84,138,24,813,300
AL,17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,2513439600,Local,50,50,50,50,50,50,4,4,88,4,87,4,87,3,87,82,336,26,811,300
AL,17154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,35173,2056553707,Local,50,50,50,50,50,50,4,4,88,4,86,4,87,3,85,84,142,30,810,300
AL,17164,KINDRED AT HOME,2740 HEADLAND AVE,DOTHAN,36303,3349442290,Local,50,50,50,50,50,50,4,4,90,4,88,4,86,3,82,84,349,33,810,300
AL,17035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,36609,2514503300,Local,50,50,50,50,50,50,4,4,90,4,86,4,87,3,85,81,593,31,809,300
AL,17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,36401,2515786800,Hospital Based Program,50,0,0,0,0,50,4,5,91,4,87,3,83,3,84,84,78,37,809,100
AL,17034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FOLEY,36535,2516214431,Local,50,50,50,50,50,50,4,4,91,4,86,4,86,3,84,81,426,39,808,300
AL,17319,AMEDISYS HOME HEALTH OF MONTGOMERY,"300 INTERSTATE PARK DRIVE, SUITE 324",MONTGOMERY,36109,3342720313,Local,50,50,50,50,50,50,4,4,89,4,88,4,86,3,85,79,358,26,807,300
AL,17148,THOMAS HOME HEATLH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,36532,2519909200,Local,50,50,50,50,50,50,4,4,88,4,85,4,85,3,84,80,337,31,802,300
AL,17180,"PROHEALTH-GULF COAST, LLC",105B LOTTIE LANE,FAIRHOPE,36532,8663300609,Local,50,50,50,50,0,50,4,4,89,4,83,4,85,3,79,77,137,22,793,250
AL,17161,KINDRED AT HOME,"7067 OLD MADISON PIKE NW, SUITE 105",HUNTSVILLE,35806,2568813266,Local,50,50,50,50,50,50,4,4,89,4,88,3,81,3,86,83,304,27,787,300
AL,17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 200",HOMEWOOD,35209,2058680147,Local,50,50,50,50,50,50,4,4,90,4,88,3,84,3,84,79,337,25,785,300
AL,17119,HUNTSVILLE HOSPITAL HOMECARE,"500 BOULEVARD SOUTH SW, SUITE 203",HUNTSVILLE,35802,2569226650,Local,50,50,50,50,50,50,4,4,89,4,88,3,84,3,85,78,533,30,784,300
AL,17176,COMFORT CARE HOME HEALTH OF NORTH ALABAMA,1430 PARAMOUNT DRIVE,HUNTSVILLE,35806,2563468223,Local,50,50,50,50,50,50,4,4,90,3,84,4,86,3,80,80,195,43,780,300
AL,17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,35121,2052740720,Local,50,50,50,50,0,0,4,5,91,3,83,3,82,3,81,76,130,20,773,200
AL,17157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,36801,3348877234,Local,50,50,50,50,50,50,3,4,89,3,84,3,84,3,83,81,175,28,741,300
AL,17037,BAPTIST HOME HEALTH,"451 ST. LUKE'S DRIVE, SUITE 451",MONTGOMERY,36117,3343955100,Local,50,50,50,50,50,50,3,3,87,4,86,3,82,3,83,79,350,27,737,300
AL,17028,CENTRAL ALABAMA HOME CARE,"3000 RIVERCHASE GALLERIA, STE 775",HOOVER,35244,2059774152,Visiting Nurse Association,50,50,50,50,50,50,3,4,89,2,80,5,90,2,82,75,82,23,736,300
AL,17056,KINDRED AT HOME,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,3342701151,Local,50,50,50,50,50,50,3,3,87,4,86,3,82,3,85,75,277,29,735,300
AL,17054,KINDRED AT HOME,"2100 SOUTHBRIDGE PKWY, SUITE 480",BIRMINGHAM,35209,2058360777,Local,50,50,50,50,50,50,3,4,88,3,83,3,82,3,83,76,330,26,732,300
AL,17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,2568851665,Local,50,50,50,50,50,50,3,3,86,4,85,3,83,3,80,73,346,24,727,300
AL,17138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,36037,3343832286,Hospital Based Program,50,50,0,0,50,50,3,3,91,3,86,3,82,3,79,85,52,24,723,200
AL,17179,"PROHEALTH OF NORTH CENTRAL ALABAMA, LLC",923 2ND E AVENUE,ONEONTA,35121,2052740020,Local,50,50,50,50,50,50,3,3,87,3,86,3,83,3,84,78,127,21,718,300
AL,17175,ENCOMPASS HEALTH HOME HEALTH,"801 PRINCETON AVE SW, SUITE 210",BIRMINGHAM,35211,2052244545,Local,50,50,50,50,50,50,3,3,88,3,81,2,80,3,80,72,68,22,681,300
AL,17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,35042,2059263211,Official Health Agency,50,50,0,0,0,50,2,2,84,2,81,3,84,2,79,68,173,22,616,150
MS,257309,KINDRED AT HOME,"200 S. PONTOTOC ROAD, SUITE A",BRUCE,38915,6629832273,Local,50,50,50,50,50,50,5,5,95,5,92,5,92,5,94,91,211,32,964,300
MS,257117,MAGNOLIA REGIONAL HEALTH CENTER HH & HOSPICE AGENC,1001 SOUTH HARPER ROAD,CORINTH,38834,6626658016,Hospital Based Program,50,50,50,50,50,50,5,5,94,5,94,5,92,5,93,89,135,25,962,300
MS,257126,KINDRED AT HOME -FLOWOOD,106 RIVERVIEW DRIVE,FLOWOOD,39232,6013627801,Local,50,50,50,50,50,50,5,5,94,5,92,5,88,5,93,91,393,29,958,300
MS,257002,NORTH MISSISSIPPI MEDICAL CTR HHA,812 GARFIELD,TUPELO,38801,6623772499,Hospital Based Program,50,50,50,50,50,50,5,5,93,5,91,5,90,5,92,90,562,25,956,300
MS,257087,AMEDISYS HOME HEALTH OF COLLINS,18 MELODY LANE,COLLINS,39428,6017658316,Local,50,50,50,50,50,50,5,5,93,5,91,5,93,5,93,85,378,25,955,300
MS,257303,KINDRED AT HOME,101 NORTH INDUSTRIAL ROAD SUITE B,TUPELO,38801,6628449725,Local,50,50,50,50,50,50,5,5,93,5,92,5,90,5,92,88,394,35,955,300
MS,257124,ST LUKE HOME HEALTH SERVICES,210 STATE STREET (2ND FLOOR),MCCOMB,39648,6012494260,Local,50,50,50,50,50,50,5,5,94,5,88,5,88,5,91,92,319,33,953,300
MS,257016,SUNFLOWER HOME HEALTH,210 NORTH STREET,CLEVELAND,38732,6627564676,Official Health Agency,50,50,50,50,50,50,5,5,94,5,92,5,91,4,92,88,411,30,937,300
MS,257135,DEACONESS HOMECARE-REGION 11,105 WHITEBROOK DRIVE,BROOKHAVEN,39601,6018351145,Local,50,50,50,50,50,50,5,5,92,5,90,5,89,4,93,92,324,32,936,300
MS,257300,KINDRED AT HOME,2600 OLD NORTH HILLS STREET,MERIDIAN,39305,6014825055,Local,50,50,50,50,50,50,5,5,93,5,91,5,92,4,92,88,374,28,936,300
MS,257129,STA HOME HEALTH AND HOSPICE,730 HWY 35 SOUTH,CARTHAGE,39051,6012678333,Local,50,50,50,50,50,50,5,5,93,5,92,5,92,4,90,88,677,34,935,300
MS,257305,ADORATION HOME HEALTH CARE MISSISSIPPI,803 EAST SUNFLOWER RD,CLEVELAND,38732,6628467693,Local,50,50,50,50,50,50,5,5,93,5,92,5,88,4,89,93,157,38,935,300
MS,257034,"HOMECHOICE HEALTH SERVICES, INC",2007 OAK TREE COVE,HERNANDO,38632,6624494955,Local,50,50,50,50,50,50,5,5,92,5,92,5,90,4,88,90,150,28,932,300
MS,257110,KINDRED AT HOME,189 PARK CREEK DRIVE,COLUMBUS,39705,6623279669,Local,50,50,50,50,50,50,5,5,92,5,89,5,88,4,92,90,360,31,931,300
MS,257088,WAYNE GENERAL HOSPITAL HHA,"951 MATTHEW DRIVE, SUITE  / MAIL TO: P.O. BOX 1249",WAYNESBORO,39367,6017355500,Hospital Based Program,50,50,50,50,0,50,5,4,92,5,89,5,89,5,90,90,125,42,930,250
MS,257085,DEACONESS HOMECARE- REGION 1,128 SOUTH 11TH AVENUE,LAUREL,39440,6016492231,Local,50,50,50,50,50,50,5,5,92,5,91,5,89,4,90,87,1345,29,929,300
